gid,nom_barrio,esquina,calle,calle2,suj-column,nro_artef,sem-artef,sem-arte_2,sem-arte_3,sem-arte_4,sem-arte_5,sem-arte_6,artef_camb,viscera,lampcambio,led,tipo led,suj-soport,de-cargado,de-bateria,de-cabl al,de_cam s_n,c-estado,lng,lat
97,NULL,97,AV. INDEPENDENCIA,AV. CHACABUCO,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81453222090392,-27.478438774008108
98,NULL,98,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81142065035632,-27.479036032606025
99,NULL,99,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.811185136959935,-27.479068899948153
100,NULL,100,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.81107664205444,-27.478958559376103
101,NULL,101,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81147092856984,-27.478723791952266
102,NULL,102,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.811317447958096,-27.4786251894246
103,NULL,103,AV. INDEPENDENCIA,JUAN JOSE CASTELLI,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.80973236331961,-27.479242627125696
104,NULL,104,AV. INDEPENDENCIA,JUAN JOSE CASTELLI,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.809637099501664,-27.479139329736274
105,NULL,105,AV. INDEPENDENCIA,JUAN JOSE CASTELLI,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.809978461657835,-27.47891395338178
106,NULL,106,AV. INDEPENDENCIA,JUAN JOSE CASTELLI,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80983556592252,-27.478794221944504
107,NULL,107,AV. INDEPENDENCIA,JUAN JOSE CASTELLI,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80966356175509,-27.478824741695494
108,NULL,108,AV. INDEPENDENCIA,GUEMES,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80763391250357,-27.47950321739367
109,NULL,109,AV. INDEPENDENCIA,GUEMES,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.80746190834229,-27.479507912682696
110,NULL,110,AV. INDEPENDENCIA,GUEMES,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80732959747221,-27.479414006186552
111,NULL,111,AV. INDEPENDENCIA,GUEMES,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80769212936946,-27.479195673400532
112,NULL,112,AV. INDEPENDENCIA,GUEMES,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80755981850164,-27.479092375960086
113,NULL,113,AV. INDEPENDENCIA,TACUARI,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.806273756490235,-27.479667553274755
114,NULL,114,AV. INDEPENDENCIA,TACUARI,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8061335069683,-27.479566603934853
115,NULL,115,AV. INDEPENDENCIA,TACUARI,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.806511916175445,-27.47933653313274
116,NULL,116,AV. INDEPENDENCIA,TACUARI,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.806366374219486,-27.47922854048852
117,NULL,117,AV. INDEPENDENCIA,TACUARI,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.806215539796504,-27.47925201712476
118,NULL,118,AV. INDEPENDENCIA,LAS PIEDRAS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80061349617589,-27.481080832876252
119,NULL,119,AV. INDEPENDENCIA,LAS PIEDRAS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.800438845786736,-27.48112778537826
120,NULL,120,AV. INDEPENDENCIA,LAS PIEDRAS,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.800327704664475,-27.481012751610745
121,NULL,121,AV. INDEPENDENCIA,LAS PIEDRAS,"con pescante 5,5m.",3,3*200,3*200,"2*300
",ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80066112817984,-27.480733383503633
122,NULL,122,AV. INDEPENDENCIA,LAS PIEDRAS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.80052617108747,-27.480658259143365
123,NULL,123,AV. INDEPENDENCIA,MEDRANO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.79827688565662,-27.48174990416945
124,NULL,124,AV. INDEPENDENCIA,MEDRANO,"con pescante 5,5m.",3,3*200,3*300,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.79816309831148,-27.48165599958812
125,NULL,125,AV. INDEPENDENCIA,MEDRANO,"con pescante 5,5m.",2,3*200,"2*200
",ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.79847799829965,-27.481386023592307
126,NULL,126,AV. INDEPENDENCIA,MEDRANO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.798369503394134,-27.48127568534127
127,NULL,127,AV. INDEPENDENCIA,MEDRANO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.7982181224753,-27.481331672535624
128,NULL,128,AV. INDEPENDENCIA,GASCON,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.79524431979532,-27.48262086457314
129,NULL,129,AV. INDEPENDENCIA,GASCON,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.7950537921287,-27.482543393893625
130,NULL,130,AV. INDEPENDENCIA,GASCON,"con pescante 5,5m.",130,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.795331645064735,-27.48228281047275
131,NULL,131,AV. INDEPENDENCIA,GASCON,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.79511200899787,-27.482221772771712
132,NULL,132,AV. INDEPENDENCIA,PAIUBRE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.793849762892776,-27.483026997397182
133,NULL,133,AV. INDEPENDENCIA,PAIUBRE,baja recta 3m.,2,1*300+2*200,1*300+2*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.79376243769708,-27.483055168406356
134,NULL,134,AV. INDEPENDENCIA,PAIUBRE,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.79352957054042,-27.48299647871732
135,NULL,135,AV. INDEPENDENCIA,PAIUBRE,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.79396355031943,-27.482778153045434
136,NULL,136,AV. INDEPENDENCIA,PAIUBRE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.79368569747945,-27.482634949843927
137,NULL,137,AV. INDEPENDENCIA,GODOY CRUZ,baja recta 3m.,2,1*300+2*200,1*300+2*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.78976929475009,-27.483956636669124
138,NULL,138,AV. INDEPENDENCIA,GODOY CRUZ,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.78960258302398,-27.48396367933524
139,NULL,139,AV. INDEPENDENCIA,GODOY CRUZ,"con pescante 5,5m.",2,3*300,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.78957876708847,-27.4838580388186
523,APIPE,NULL,AV. EVA PERON ,AV. JUAN R. FERNANDEZ,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.78659413707169,-27.46136478697261
511,DEPORTES,NULL,PLACIDO MARTINEZ,LA RIOJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.8375975182119,-27.461726656536573
140,NULL,140,AV. INDEPENDENCIA,GODOY CRUZ,"con pescante 5,5m.",3,3*200,3*300,"2*300
",ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.78984603514303,-27.483639714822974
141,NULL,141,AV. INDEPENDENCIA,GODOY CRUZ,"con pescante 5,5m.",1,3*200,ninguno,ninguno,ninguno,ninguno,ninguno,no,ningu,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.789740186451986,-27.483543464279517
142,NULL,142,AV. INDEPENDENCIA,SANCHEZ DE BUSTAMANTE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.78814848629255,-27.48406462434388
143,NULL,143,AV. INDEPENDENCIA,SANCHES DE BUSTAMANTE,"con pescante 5,5m.",3,3*300,3*200,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.78808100776562,-27.48394607230253
144,NULL,144,AV. INDEPENDENCIA,SANCHEZ DE BUSTAMANTE,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.788349598925464,-27.483743007691025
145,NULL,145,AV. INDEPENDENCIA,SANCHES DE BUSTAMANTE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.788307259465014,-27.48363736695924
146,NULL,146,AV. INDEPENDENCIA,SANCHES DE BUSTAMANTE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.78812202421313,-27.483647931001137
147,NULL,147,RUTA PROVINCIAL N° 5,JUAN ROMERO,baja recta 3m.,1,3*200,ninguno,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.77709777559363,-27.485108525463428
148,NULL,148,RUTA PROVINCIAL N° 5,JUAN ROMERO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.777092587883814,-27.48507876508605
149,NULL,149,RUTA PROVINCIAL N° 5,JUAN ROMERO,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,ningu,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.77708200309714,-27.484721938115555
150,NULL,150,RUTA PROVINCIAL N° 5,JUAN ROMERO,"con pescante 5,5m.",2,1*300+2*200,1*300+2*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.776880326848186,-27.485155805260728
151,NULL,151,RUTA PROVINCIAL N° 5,CONSEJAL JAIME VIUDES,baja recta 3m.,1,3*200,ninguno,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.7758727016864,-27.48529448606764
152,NULL,152,RUTA PROVINCIAL N° 5,CONSEJAL JAIME VIUDES,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.77586738897749,-27.485259525443567
153,NULL,153,RUTA PROVINCIAL N° 5,CONSEJAL JAIME VIUDES,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.77580123361491,-27.484907394139732
154,NULL,154,PLACIDO MARTINEZ,SALTA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.83871043764601,-27.461705342695186
155,NULL,155,PLACIDO MARTINEZ,SALTA,baja recta 3m.,1,1*300+2*200,ninguno,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8386886063682,-27.46162374826867
156,NULL,156,PLACIDO MARTINEZ,SALTA,"con pescante 5,5m.",3,1*300+2*200,3*200,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.83868728328197,-27.461528652534493
158,NULL,158,CARLOS PELLEGRINI,LA RIOJA,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.83786331633933,-27.465127557804912
160,NULL,160,CARLOS PELLEGRINI,SAN JUAN,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.83656633876599,-27.465332124008405
164,NULL,164,CARLOS PELLEGRINI,MENDOZA,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.835372894512226,-27.4653435700999
166,NULL,166,CARLOS PELLEGRINI,CORDOBA,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.83413115673939,-27.46553639612134
170,NULL,170,CARLOS PELLEGRINI,CATAMARCA,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.83284046397254,-27.465577485141708
172,NULL,172,CARLOS PELLEGRINI,SAN LORENZO,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.83155175583197,-27.465774126169435
193,NULL,193,PEATONAL JUNIN,SALTA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.83907511819029,-27.467374392968093
245,NULL,245,AV. GDOR. JUAN PUJOL,PARAGUAY,"con pescante 5,5m.",5,1*300+2*200,1*300+2*200,"3*200
","3*200
","3*200
",ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.82603918841301,-27.463546041578827
246,NULL,246,AV. GDOR. JUAN PUJOL,PARAGUAY,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.825922754807394,-27.46363056955517
247,NULL,247,AV. GDOR. JUAN PUJOL,ITUZAINGO,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.8188128108593,-27.469801474929557
248,NULL,248,GDOR. DR. JUAN E. MARTINEZ,AV. GDOR. JUAN PUJOL,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.818572883330255,-27.469485735290885
249,NULL,249,AV. ARTIGAS,H. IRIGOYEN,baja recta 3m.,3,2*200,3*300,"3*200
",ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.81855700583123,-27.470291053240086
250,NULL,250,AYACUCHO,AV. ARTIGAS,baja recta 3m.,1,3*200,ninguno,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.81826724497007,-27.47031834702138
251,NULL,251,AYACUCHO,AV. ARTIGAS,baja recta 3m.,1,3*200,ninguno,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.81856425865264,-27.470447026214284
252,NULL,252,AYACUCHO,AV. ARTIGAS,baja recta 3m.,1,3*200,ninguno,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.818330754158474,-27.47048621865172
253,NULL,253,ALMIRANTE BROWN,AV. ARTIGAS,baja recta 3m.,2,3*200,"2*200
",ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.81918085087713,-27.473699795767487
254,NULL,254,ALMIRANTE BROWN,AV. ARTIGAS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.81920731302598,-27.473824228283128
255,NULL,255,ALMIRANTE BROWN,AV. ARTIGAS,"con pescante 5,5m.",3,1*300+2*200,3*200,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.8189612147877,-27.473732664704578
256,NULL,256,AV. GDOR. RUIZ,COCOMAROLA,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.81792722219185,-27.46702459332999
257,NULL,257,AV. GDOR. RUIZ,SANTIAGO DEL ESTERO,baja recta 3m.,2,3*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.818030978033235,-27.466842790250638
258,NULL,258,AV. ARMENIA,ESTADOS UNIDOS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.812925193389184,-27.4673564851208
259,NULL,259,AV. ARMENIA,ESTADOS UNIDOS,"con pescante 5,5m.",3,1*300+2*200,3*200,"3*200
",ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.81293048577624,-27.46756075394542
260,NULL,260,AV. ARMENIA,CHACABUCO,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.811870675592935,-27.46728369938667
261,NULL,261,AV. ARMENIA,CHACABUCO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.81188390663802,-27.467469185010962
262,NULL,262,AV. ARMENIA,AMADO BOMPLAND,"con pescante 5,5m.",6,1*300+2*200,1*300+2*200,"3*200
","3*200
","3*200
","giro 200
",no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.809812579708485,-27.467077668715515
263,NULL,263,AV. ARMENIA,AMADO BOMPLAND,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.8097993485706,-27.467281938053365
264,NULL,264,AV. ARMENIA,AMBROSETTI,"con pescante 5,5m.",3,1*300+2*200,3*200,"3*200
",ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.809274074382394,-27.46705008048396
265,NULL,265,AV. ARMENIA,FELIX DE AZARA,"con pescante 5,5m.",3,1*300+2*200,3*200,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.80888209558423,-27.46726677918003
266,NULL,266,AV. ARMENIA,19 DE mayo,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.80510694262718,-27.467868328943734
267,NULL,267,AV. ARMENIA,19 DE mayo,"con pescante 5,5m.",3,1*300+2*200,3*200,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.8048873065724,-27.467755629222882
268,NULL,268,AV. ARMENIA,20 DE mayo,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.80373223239353,-27.468090205852018
269,NULL,269,AV. ARMENIA,20 DE mayo,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.80383014242291,-27.46825221111979
