,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,cono_de_vision,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,barreras_de_seguridad,luminosidad,luz_artificial,estado_ambiental,semaforo,tipo_involucrado
0,217499,2024-07-27,2:00:00,Urbana,Calle,QUINQUELA MARTIN,743,GIMENEZ,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Automóvil
1,217499,2024-07-27,2:00:00,Urbana,Calle,QUINQUELA MARTIN,743,GIMENEZ,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Automóvil
2,224937,2024-07-27,8:45:00,Urbana,Calle,SAN LORENZO,800,9 DE julio,,,2,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Motocicleta
3,224937,2024-07-27,8:45:00,Urbana,Calle,SAN LORENZO,800,9 DE julio,,,2,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
4,231749,2024-07-27,22:40:00,Urbana,Avenida,AV 3 DE ABRIL,1000,LA RIOJA,,,2,0,0,2,0,Colisión entre vehículos,2,,,Apto,Seca,Asfalto,Noche,NO,Despejado,S/D,Automóvil
5,231749,2024-07-27,22:40:00,Urbana,Avenida,AV 3 DE ABRIL,1000,LA RIOJA,,,2,0,0,2,0,Colisión entre vehículos,2,,,Apto,Seca,Asfalto,Noche,NO,Despejado,S/D,Automóvil
6,223345,2024-07-22,20:50:00,Urbana,Avenida,AV LIBERTAD,5200,,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,,Sin Semáforo,Automóvil
7,223345,2024-07-22,20:50:00,Urbana,Avenida,AV LIBERTAD,5200,,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,,Sin Semáforo,Transporte de carga
8,233239,2024-07-19,22:24:00,Urbana,Calle,GUEMES,1500,,-2.747.819,-5.880.731,0,1,0,1,0,Caída desde vehículo,1,S/D,Asfalto,Apto,,S/D,Noche,NO,Despejado,S/D,Motocicleta
9,232115,2024-07-17,22:00:00,Urbana,Calle,9 DE julio,1700,ESPAÑA,-2.746.705,-5.882.910,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
10,232115,2024-07-17,22:00:00,Urbana,Calle,9 DE julio,1700,ESPAÑA,-2.746.705,-5.882.910,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
11,230861,2024-07-10,19:48:00,Urbana,Avenida,AV FERRE,2300,PERU,-2.747.734,-5.882.246,0,1,0,1,0,Colisión entre vehículos,1,S/D,,Apto,Seca,,Noche,NO,Despejado,Sin Semáforo,Motocicleta
12,224096,2024-07-09,12:15:00,Urbana,Calle,ITUZAINGO,1000,HIPOLITO YRIGOYEN,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
13,224096,2024-07-09,12:15:00,Urbana,Calle,ITUZAINGO,1000,HIPOLITO YRIGOYEN,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
14,218235,2024-07-08,20:00:00,Urbana,Avenida,AV CHACABUCO,1300,BELGRANO,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
15,218235,2024-07-08,20:00:00,Urbana,Avenida,AV CHACABUCO,1300,BELGRANO,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
16,231658,2024-07-08,15:20:00,Urbana,Avenida,AV INDEPEMDENCIA,5400,DUMAS,-2.748.431,-5.878.537,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Funciona,Automóvil
17,231658,2024-07-08,15:20:00,Urbana,Avenida,AV INDEPEMDENCIA,5400,DUMAS,-2.748.431,-5.878.537,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Funciona,Bicicleta
18,233571,2024-07-06,10:25:00,Urbana,Avenida,AV. PUJOL,2200,PELLEGRINI,-2.746.651,-5.882.274,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,,Asfalto,,,Despejado,,Automóvil
19,233571,2024-07-06,10:25:00,Urbana,Avenida,AV. PUJOL,2200,PELLEGRINI,-2.746.651,-5.882.274,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,,Asfalto,,,Despejado,,Motocicleta
20,220396,2024-07-04,8:30:00,Urbana,Avenida,AV SARMIENTO,2000,TTE CORREA FERNANDEZ,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,,No Funciona,Motocicleta
21,220396,2024-07-04,8:30:00,Urbana,Avenida,AV SARMIENTO,2000,TTE CORREA FERNANDEZ,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,,No Funciona,Motocicleta
22,232265,2024-07-02,8:35:00,Urbana,Avenida,LAS HERAS,3100,RECONQUISTA,-2.748.317,-5.881.414,2,0,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,,Día,,Despejado,,Motocicleta
23,232265,2024-07-02,8:35:00,Urbana,Avenida,LAS HERAS,3100,RECONQUISTA,-2.748.317,-5.881.414,2,0,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,,Día,,Despejado,,Automóvil
24,224978,2024-07-01,19:38:00,Urbana,Avenida,AV MAIPU,KM 8,,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Mojada,,Noche,NO,Lluvia,Sin Semáforo,Camioneta/Utilitario
25,224978,2024-07-01,19:38:00,Urbana,Avenida,AV MAIPU,KM 8,,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Mojada,,Noche,NO,Lluvia,Sin Semáforo,Automóvil
26,230894,2024-06-29,11:00:00,Urbana,Calle,CATAMARCA,600,25 DE mayo,-2.746.462,-5.883.273,0,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Sin Semáforo,Motocicleta
27,230894,2024-06-29,11:00:00,Urbana,Calle,CATAMARCA,600,25 DE mayo,-2.746.462,-5.883.273,0,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Sin Semáforo,Automóvil
28,232274,2024-06-29,12:25:00,Urbana,Avenida,AV MAIPU,1559,,-2.748.732,-5.882.231,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,S/D,Camioneta/Utilitario
29,232274,2024-06-29,12:25:00,Urbana,Avenida,AV MAIPU,1559,,-2.748.732,-5.882.231,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,S/D,Automóvil
30,228608,2024-06-29,22:37:00,Urbana,Avenida,AV RAUL ALFONSIN,4600,CALLE SAENZ,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Mojada,Ninguna,Noche,NO,Lluvia,No Funciona,Automóvil
31,228608,2024-06-29,22:37:00,Urbana,Avenida,AV RAUL ALFONSIN,4600,CALLE SAENZ,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Mojada,Ninguna,Noche,NO,Lluvia,No Funciona,Motocicleta
32,233620,2024-06-29,15:50:00,Urbana,Calle,REPUBLICA DOMINICANA,1000,ESPARTA,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
33,233620,2024-06-29,15:50:00,Urbana,Calle,REPUBLICA DOMINICANA,1000,ESPARTA,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Bicicleta
34,222694,2024-06-26,15:45:00,Urbana,Avenida,AV PEDRO FERRE,3000,AV CHACABUCO,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Motocicleta
35,222694,2024-06-26,15:45:00,Urbana,Avenida,AV PEDRO FERRE,3000,AV CHACABUCO,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
36,234588,2024-06-24,10:00:00,Urbana,Avenida,AV LA PRIDA,5300,AV ARMENIA,-2.746.607,-5.878.698,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Funciona,Automóvil
37,234588,2024-06-24,10:00:00,Urbana,Avenida,AV LA PRIDA,5300,AV ARMENIA,-2.746.607,-5.878.698,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Funciona,Motocicleta
38,224941,2024-06-24,20:00:00,Urbana,Calle,CARTAGENA,3126,,,,2,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Automóvil
39,224941,2024-06-24,20:00:00,Urbana,Calle,CARTAGENA,3126,,,,2,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
40,220402,2024-06-24,8:00:00,Urbana,Avenida,AV ARMENIA,3000,,,,2,1,0,3,0,Colisión entre vehículos,3,S/D,Asfalto,Apto,Seca,Ninguna,Día,,,S/D,Transporte de carga
41,220402,2024-06-24,8:00:00,Urbana,Avenida,AV ARMENIA,3000,,,,2,1,0,3,0,Colisión entre vehículos,3,S/D,Asfalto,Apto,Seca,Ninguna,Día,,,S/D,Automóvil
42,220402,2024-06-24,8:00:00,Urbana,Avenida,AV ARMENIA,3000,,,,2,1,0,3,0,Colisión entre vehículos,3,S/D,Asfalto,Apto,Seca,Ninguna,Día,,,S/D,Automóvil
43,218237,2024-06-22,16:53:00,Urbana,Calle,LISANDRO SEGOVIA,2600,COLON,,,2,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
44,218237,2024-06-22,16:53:00,Urbana,Calle,LISANDRO SEGOVIA,2600,COLON,,,2,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
45,233386,2024-06-20,16:45:00,Urbana,Avenida,AV INDEPENDENCIA,3000,AV CHACABUCO,-2.747.866,-5.881.473,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Funciona,Automóvil
46,233386,2024-06-20,16:45:00,Urbana,Avenida,AV INDEPENDENCIA,3000,AV CHACABUCO,-2.747.866,-5.881.473,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Funciona,Motocicleta
47,217475,2024-06-20,13:00:00,Urbana,Avenida,AV RIO CHICO,5600,LOS TULIPANES,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
48,217475,2024-06-20,13:00:00,Urbana,Avenida,AV RIO CHICO,5600,LOS TULIPANES,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
49,228606,2024-06-17,13:00:00,Urbana,Avenida,AV INDEPENDENCIA,3400,AV CHACABUCO,,,2,0,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Mojada,Ninguna,Día,,Otro,Funciona,Camioneta/Utilitario
50,228606,2024-06-17,13:00:00,Urbana,Avenida,AV INDEPENDENCIA,3400,AV CHACABUCO,,,2,0,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Mojada,Ninguna,Día,,Otro,Funciona,Camioneta/Utilitario
51,224975,2024-06-17,15:10:00,Urbana,Avenida,AV 3 DE ABRIL,1400,CATAMARCA,,,3,0,0,3,0,Colisión entre vehículos,3,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
52,224975,2024-06-17,15:10:00,Urbana,Avenida,AV 3 DE ABRIL,1400,CATAMARCA,,,3,0,0,3,0,Colisión entre vehículos,3,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Camioneta/Utilitario
53,224975,2024-06-17,15:10:00,Urbana,Avenida,AV 3 DE ABRIL,1400,CATAMARCA,,,3,0,0,3,0,Colisión entre vehículos,3,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
54,216589,2024-06-15,10:56:00,Urbana,Calle,PLACIDO MARTINEZ,1056,,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,,Apto,Seca,Ninguna,Día,,,Sin Semáforo,Automóvil
55,216589,2024-06-15,10:56:00,Urbana,Calle,PLACIDO MARTINEZ,1056,,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,,Apto,Seca,Ninguna,Día,,,Sin Semáforo,Bicicleta
56,217515,2024-06-13,22:30:00,Urbana,Calle,CATAMARCA,1000,BELGRANO,,,3,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Automóvil
57,217515,2024-06-13,22:30:00,Urbana,Calle,CATAMARCA,1000,BELGRANO,,,3,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
58,224098,2024-06-11,8:35:00,Urbana,Avenida,AV 3 DE ABRIL,100,,,,0,1,0,1,0,Choque,1,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
59,218238,2024-06-10,16:51:00,Urbana,Avenida,AV SARMIENTO,2200,A.C. FERNANDEZ,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,,Automóvil
60,218238,2024-06-10,16:51:00,Urbana,Avenida,AV SARMIENTO,2200,A.C. FERNANDEZ,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,,Motocicleta
61,228607,2024-06-09,13:05:00,Urbana,Calle,RAMON CARRILLO (EX VIA),1500,GUTENBERG,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,,Apto,Mojada,Ninguna,Día,,S/D,Sin Semáforo,Automóvil
62,228607,2024-06-09,13:05:00,Urbana,Calle,RAMON CARRILLO (EX VIA),1500,GUTENBERG,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,,Apto,Mojada,Ninguna,Día,,S/D,Sin Semáforo,Motocicleta
63,233378,2024-06-09,18:00:00,Urbana,Avenida,AV MAIPU,4500,GUAYQUIRARO,-2.751.372,-5.880.745,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,,Asfalto,Día,,,Funciona,Automóvil
64,233378,2024-06-09,18:00:00,Urbana,Avenida,AV MAIPU,4500,GUAYQUIRARO,-2.751.372,-5.880.745,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,,Asfalto,Día,,,Funciona,Automóvil
65,217514,2024-06-08,13:50:00,Urbana,Calle,BOLIVAR,1100,SAN LUIS,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
66,217514,2024-06-08,13:50:00,Urbana,Calle,BOLIVAR,1100,SAN LUIS,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
67,224092,2024-06-08,12:30:00,Urbana,Calle,CUBA,5100,PABLO GROUSSAC,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
68,224092,2024-06-08,12:30:00,Urbana,Calle,CUBA,5100,PABLO GROUSSAC,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
69,220449,2024-06-08,13:45:00,Urbana,Avenida,AV PUJOL,2100,ROTONDA PONCHO VERDE,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
70,220449,2024-06-08,13:45:00,Urbana,Avenida,AV PUJOL,2100,ROTONDA PONCHO VERDE,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
71,222693,2024-06-08,22:15:00,Urbana,Avenida,AV ARMENIA,4600,QUINQUELA MARTIN,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
72,222693,2024-06-08,22:15:00,Urbana,Avenida,AV ARMENIA,4600,QUINQUELA MARTIN,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Automóvil
73,223341,2024-06-07,18:27:00,Urbana,Calle,MEDRANO,2200,ZAPIOLA,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,,Sin Semáforo,Bicicleta
74,223341,2024-06-07,18:27:00,Urbana,Calle,MEDRANO,2200,ZAPIOLA,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,,Sin Semáforo,Motocicleta
75,215403,2024-06-07,8:15:00,Urbana,Avenida,AV PEDRO FERRÉ,2900,AV CHACABUCO,,,2,0,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
76,215403,2024-06-07,8:15:00,Urbana,Avenida,AV PEDRO FERRÉ,2900,AV CHACABUCO,,,2,0,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Camioneta/Utilitario
77,230896,2024-06-02,13:20:00,Urbana,Avenida,AV INDEPENDENCIA,3400,JUAN JOSE CASTELLI,-2.747.923,-5.880.987,1,1,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,,Día,,Despejado,Sin Semáforo,Automóvil
78,230896,2024-06-02,13:20:00,Urbana,Avenida,AV INDEPENDENCIA,3400,JUAN JOSE CASTELLI,-2.747.923,-5.880.987,1,1,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,,Día,,Despejado,Sin Semáforo,Motocicleta
79,233611,2024-06-02,12:41:00,Urbana,Avenida,AV ARMENIA,3100,AMADO BOMPLAND,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Automóvil
80,233611,2024-06-02,12:41:00,Urbana,Avenida,AV ARMENIA,3100,AMADO BOMPLAND,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Motocicleta
81,217517,2024-06-01,20:08:00,Urbana,Avenida,AV INDEPENDENCIA,5000,GODOY CRUZ,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Funciona,Automóvil
82,217517,2024-06-01,20:08:00,Urbana,Avenida,AV INDEPENDENCIA,5000,GODOY CRUZ,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Funciona,Automóvil
83,229676,2024-06-01,13:35:00,Urbana,Calle,RAMON CARRILLO,1500,GOB VELAZCO,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
84,229676,2024-06-01,13:35:00,Urbana,Calle,RAMON CARRILLO,1500,GOB VELAZCO,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
85,216587,2024-06-01,13:40:00,Urbana,Avenida,AV ARMENIA,800,,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Automóvil
86,216587,2024-06-01,13:40:00,Urbana,Avenida,AV ARMENIA,800,,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Motocicleta
87,229675,2024-05-30,17:35:00,Urbana,Calle,RECONQUISTA,3100,ALTE BROWN,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
88,229675,2024-05-30,17:35:00,Urbana,Calle,RECONQUISTA,3100,ALTE BROWN,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
89,223342,2024-05-30,12:00:00,Urbana,Avenida,AV 3 DE ABRIL,435,,,,1,0,0,1,0,Choque,1,,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
90,220451,2024-05-30,10:00:00,Urbana,Calle,URUGUAY,900,JUNIN,,,2,0,0,2,0,Choque,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
